o_d,cluster
MYSNLD,3
ECUECU,1
MYSNOR,3
ECUESP,1
ECUFIN,1
ECUFRA,1
ECUGBR,1
ECUGRC,1
ECUGTM,1
ECUIDN,1
MYSNZL,3
ECUIRL,1
MYSPER,3
MYSPOL,3
ECUISR,1
ECUITA,1
ECUJPN,1
ECUKOR,1
MYSPRT,3
MYSSVK,3
ECUMEX,1
MYSSWE,3
ECUNGA,1
ECUNLD,1
ECUNOR,1
ECUNZL,1
MYSUKR,3
ECUPER,1
MYSUSA,3
ECUPOL,1
ECUPRT,1
MYSZAF,3
PAKARG,3
PAKAUS,3
PAKAUT,3
ECUSVK,1
ECUSWE,1
PAKBEL,3
PAKBRA,3
ECUUKR,1
ECUUSA,1
PAKCAN,3
PAKCHE,3
ECUZAF,1
PAKCHL,3
PAKCOL,3
PAKCZE,3
PAKDEU,3
EGYBGD,4
PAKDNK,3
PAKDOM,3
PAKECU,3
PAKESP,3
EGYCHN,4
PAKFIN,3
PAKFRA,3
PAKGBR,3
PAKGRC,3
PAKGTM,3
EGYDZA,4
PAKIDN,3
EGYEGY,4
PAKIRL,3
PAKISR,3
PAKITA,3
PAKJPN,3
PAKKOR,3
PAKMEX,3
PAKNGA,3
EGYIND,4
PAKNLD,3
EGYIRN,4
EGYIRQ,4
PAKNOR,3
PAKNZL,3
PAKPER,3
PAKPOL,3
EGYLBY,4
EGYMAR,4
PAKPRT,3
EGYMYS,4
PAKSVK,3
PAKSWE,3
PAKUKR,3
PAKUSA,3
EGYPAK,4
PAKZAF,3
EGYPHL,4
PHLARG,3
PHLAUS,3
EGYRUS,4
EGYSAU,4
EGYSDN,4
EGYSGP,4
PHLAUT,3
PHLBEL,3
EGYTHA,4
EGYTUR,4
PHLBRA,3
PHLCAN,3
EGYVEN,4
EGYVNM,4
PHLCHE,3
ESPARG,1
ESPAUS,1
ESPAUT,1
ESPBEL,1
PHLCHL,3
ESPBRA,1
ESPCAN,1
ESPCHE,1
ESPCHL,1
PHLCOL,3
ESPCOL,1
ESPCZE,1
ESPDEU,1
ESPDNK,1
ESPDOM,1
PHLCZE,3
ESPECU,1
PHLDEU,3
ESPESP,1
ESPFIN,1
ESPFRA,1
ESPGBR,1
ESPGRC,1
ESPGTM,1
ESPIDN,1
PHLDNK,3
ESPIRL,1
PHLDOM,3
PHLECU,3
ESPISR,1
ESPITA,1
ESPJPN,1
ESPKOR,1
PHLESP,3
PHLFIN,3
ESPMEX,1
PHLFRA,3
ESPNGA,1
ESPNLD,1
ESPNOR,1
ESPNZL,1
PHLGBR,3
ESPPER,1
PHLGRC,3
ESPPOL,1
ESPPRT,1
PHLGTM,3
PHLIDN,3
PHLIRL,3
PHLISR,3
ESPSVK,1
ESPSWE,1
PHLITA,3
PHLJPN,3
ESPUKR,1
ESPUSA,1
PHLKOR,3
PHLMEX,3
ESPZAF,1
FINARG,1
FINAUS,1
FINAUT,1
FINBEL,1
PHLNGA,3
FINBRA,1
FINCAN,1
FINCHE,1
FINCHL,1
PHLNLD,3
FINCOL,1
FINCZE,1
FINDEU,1
FINDNK,1
FINDOM,1
PHLNOR,3
FINECU,1
PHLNZL,3
FINESP,1
FINFIN,1
FINFRA,1
FINGBR,1
FINGRC,1
FINGTM,1
FINIDN,1
PHLPER,3
FINIRL,1
PHLPOL,3
PHLPRT,3
FINISR,1
FINITA,1
FINJPN,1
FINKOR,1
PHLSVK,3
PHLSWE,3
FINMEX,1
PHLUKR,3
FINNGA,1
FINNLD,1
FINNOR,1
FINNZL,1
PHLUSA,3
FINPER,1
PHLZAF,3
FINPOL,1
FINPRT,1
RUSARG,3
RUSAUS,3
RUSAUT,3
RUSBEL,3
FINSVK,1
FINSWE,1
RUSBRA,3
RUSCAN,3
FINUKR,1
FINUSA,1
RUSCHE,3
RUSCHL,3
FINZAF,1
FRAARG,1
FRAAUS,1
FRAAUT,1
FRABEL,1
RUSCOL,3
FRABRA,1
FRACAN,1
FRACHE,1
FRACHL,1
RUSCZE,3
FRACOL,1
FRACZE,1
FRADEU,1
FRADNK,1
FRADOM,1
RUSDEU,3
FRAECU,1
RUSDNK,3
FRAESP,1
FRAFIN,1
FRAFRA,1
FRAGBR,1
FRAGRC,1
FRAGTM,1
FRAIDN,1
RUSDOM,3
FRAIRL,1
RUSECU,3
RUSESP,3
FRAISR,1
FRAITA,1
FRAJPN,1
FRAKOR,1
RUSFIN,3
RUSFRA,3
FRAMEX,1
RUSGBR,3
FRANGA,1
FRANLD,1
FRANOR,1
FRANZL,1
RUSGRC,3
FRAPER,1
RUSGTM,3
FRAPOL,1
FRAPRT,1
RUSIDN,3
RUSIRL,3
RUSISR,3
RUSITA,3
FRASVK,1
FRASWE,1
RUSJPN,3
RUSKOR,3
FRAUKR,1
FRAUSA,1
RUSMEX,3
RUSNGA,3
FRAZAF,1
GBRARG,1
GBRAUS,1
GBRAUT,1
GBRBEL,1
RUSNLD,3
GBRBRA,1
GBRCAN,1
GBRCHE,1
GBRCHL,1
RUSNOR,3
GBRCOL,1
GBRCZE,1
GBRDEU,1
GBRDNK,1
GBRDOM,1
RUSNZL,3
GBRECU,1
RUSPER,3
GBRESP,1
GBRFIN,1
GBRFRA,1
GBRGBR,1
GBRGRC,1
GBRGTM,1
GBRIDN,1
RUSPOL,3
GBRIRL,1
RUSPRT,3
RUSSVK,3
GBRISR,1
GBRITA,1
GBRJPN,1
GBRKOR,1
RUSSWE,3
RUSUKR,3
GBRMEX,1
RUSUSA,3
GBRNGA,1
GBRNLD,1
GBRNOR,1
GBRNZL,1
RUSZAF,3
GBRPER,1
SAUARG,3
GBRPOL,1
GBRPRT,1
SAUAUS,3
SAUAUT,3
SAUBEL,3
SAUBRA,3
GBRSVK,1
GBRSWE,1
SAUCAN,3
SAUCHE,3
GBRUKR,1
GBRUSA,1
SAUCHL,3
SAUCOL,3
GBRZAF,1
GRCARG,1
GRCAUS,1
GRCAUT,1
GRCBEL,1
SAUCZE,3
GRCBRA,1
GRCCAN,1
GRCCHE,1
GRCCHL,1
SAUDEU,3
GRCCOL,1
GRCCZE,1
GRCDEU,1
GRCDNK,1
GRCDOM,1
SAUDNK,3
GRCECU,1
SAUDOM,3
GRCESP,1
GRCFIN,1
GRCFRA,1
GRCGBR,1
GRCGRC,1
GRCGTM,1
GRCIDN,1
SAUECU,3
GRCIRL,1
SAUESP,3
SAUFIN,3
GRCISR,1
GRCITA,1
GRCJPN,1
GRCKOR,1
SAUFRA,3
SAUGBR,3
GRCMEX,1
SAUGRC,3
GRCNGA,1
GRCNLD,1
GRCNOR,1
GRCNZL,1
SAUGTM,3
GRCPER,1
SAUIDN,3
GRCPOL,1
GRCPRT,1
SAUIRL,3
SAUISR,3
SAUITA,3
SAUJPN,3
GRCSVK,1
GRCSWE,1
SAUKOR,3
SAUMEX,3
GRCUKR,1
GRCUSA,1
SAUNGA,3
SAUNLD,3
GRCZAF,1
GTMARG,1
GTMAUS,1
GTMAUT,1
GTMBEL,1
SAUNOR,3
GTMBRA,1
GTMCAN,1
GTMCHE,1
GTMCHL,1
SAUNZL,3
GTMCOL,1
GTMCZE,1
GTMDEU,1
GTMDNK,1
GTMDOM,1
SAUPER,3
GTMECU,1
SAUPOL,3
GTMESP,1
GTMFIN,1
GTMFRA,1
GTMGBR,1
GTMGRC,1
GTMGTM,1
GTMIDN,1
SAUPRT,3
GTMIRL,1
SAUSVK,3
SAUSWE,3
GTMISR,1
GTMITA,1
GTMJPN,1
GTMKOR,1
SAUUKR,3
SAUUSA,3
GTMMEX,1
SAUZAF,3
GTMNGA,1
GTMNLD,1
GTMNOR,1
GTMNZL,1
SDNARG,3
GTMPER,1
SDNAUS,3
GTMPOL,1
GTMPRT,1
SDNAUT,3
SDNBEL,3
SDNBRA,3
SDNCAN,3
GTMSVK,1
GTMSWE,1
SDNCHE,3
SDNCHL,3
GTMUKR,1
GTMUSA,1
SDNCOL,3
SDNCZE,3
GTMZAF,1
IDNARG,1
IDNAUS,1
IDNAUT,1
IDNBEL,1
SDNDEU,3
IDNBRA,1
IDNCAN,1
IDNCHE,1
IDNCHL,1
SDNDNK,3
IDNCOL,1
IDNCZE,1
IDNDEU,1
IDNDNK,1
IDNDOM,1
SDNDOM,3
IDNECU,1
SDNECU,3
IDNESP,1
IDNFIN,1
IDNFRA,1
IDNGBR,1
IDNGRC,1
IDNGTM,1
IDNIDN,1
SDNESP,3
IDNIRL,1
SDNFIN,3
SDNFRA,3
IDNISR,1
IDNITA,1
IDNJPN,1
IDNKOR,1
SDNGBR,3
SDNGRC,3
IDNMEX,1
SDNGTM,3
IDNNGA,1
IDNNLD,1
IDNNOR,1
IDNNZL,1
SDNIDN,3
IDNPER,1
SDNIRL,3
IDNPOL,1
IDNPRT,1
SDNISR,3
SDNITA,3
SDNJPN,3
SDNKOR,3
IDNSVK,1
IDNSWE,1
SDNMEX,3
SDNNGA,3
IDNUKR,1
IDNUSA,1
SDNNLD,3
SDNNOR,3
IDNZAF,1
SDNNZL,3
SDNPER,3
SDNPOL,3
SDNPRT,3
INDBGD,4
SDNSVK,3
SDNSWE,3
SDNUKR,3
SDNUSA,3
INDCHN,4
SDNZAF,3
SGPARG,3
SGPAUS,3
SGPAUT,3
SGPBEL,3
INDDZA,4
SGPBRA,3
INDEGY,4
SGPCAN,3
SGPCHE,3
SGPCHL,3
SGPCOL,3
SGPCZE,3
SGPDEU,3
SGPDNK,3
INDIND,4
SGPDOM,3
INDIRN,4
INDIRQ,4
SGPECU,3
SGPESP,3
SGPFIN,3
SGPFRA,3
INDLBY,4
INDMAR,4
SGPGBR,3
INDMYS,4
SGPGRC,3
SGPGTM,3
SGPIDN,3
SGPIRL,3
INDPAK,4
SGPISR,3
INDPHL,4
SGPITA,3
SGPJPN,3
INDRUS,4
INDSAU,4
INDSDN,4
INDSGP,4
SGPKOR,3
SGPMEX,3
INDTHA,4
INDTUR,4
SGPNGA,3
SGPNLD,3
INDVEN,4
INDVNM,4
SGPNOR,3
IRLARG,1
IRLAUS,1
IRLAUT,1
IRLBEL,1
SGPNZL,3
