Model,Scenario,Region,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
MESSAGE-GLOBIOM,SSP1-19,R5.2LAM,Primary Energy|Gas,EJ/yr,6.309,7.165,8.020,8.310,8.600,9.429,10.258,9.997,9.735,8.356,6.977,5.638,4.299,3.673,3.048,1.534,0.021,0.010,0.000
MESSAGE-GLOBIOM,SSP1-26,R5.2LAM,Primary Energy|Gas,EJ/yr,6.309,6.929,7.550,7.990,8.430,9.249,10.068,11.966,13.864,12.920,11.976,12.123,12.269,9.863,7.458,6.073,4.688,2.397,0.106
MESSAGE-GLOBIOM,SSP2-45,R5.2LAM,Primary Energy|Gas,EJ/yr,6.361,7.946,9.532,10.709,11.886,12.696,13.505,15.765,18.024,21.290,24.556,24.322,24.089,24.853,25.618,26.591,27.564,26.632,25.700
MESSAGE-GLOBIOM,SSP3-Baseline,R5.2LAM,Primary Energy|Gas,EJ/yr,6.345,8.130,9.915,12.158,14.400,15.922,17.443,19.537,21.631,23.344,25.058,23.942,22.825,22.050,21.275,17.142,13.009,11.067,9.125
REMIND-MAGPIE,SSP1-19,R5.2LAM,Primary Energy|Gas,EJ/yr,7.633,9.157,10.680,8.686,6.692,4.929,3.166,2.521,1.876,1.611,1.346,1.141,0.936,0.876,0.816,0.750,0.685,0.427,0.169
REMIND-MAGPIE,SSP1-26,R5.2LAM,Primary Energy|Gas,EJ/yr,7.633,9.157,10.680,10.121,9.562,8.222,6.881,6.637,6.392,6.346,6.299,5.413,4.526,3.972,3.417,2.715,2.012,1.675,1.338
REMIND-MAGPIE,SSP2-45,R5.2LAM,Primary Energy|Gas,EJ/yr,7.855,9.903,11.950,12.100,12.250,12.015,11.780,12.350,12.920,12.620,12.320,11.460,10.600,10.755,10.910,10.810,10.710,10.820,10.930
REMIND-MAGPIE,SSP5-34,R5.2LAM,Primary Energy|Gas,EJ/yr,8.459,11.835,15.210,16.585,17.960,18.855,19.750,20.475,21.200,20.465,19.730,19.415,19.100,18.200,17.300,16.205,15.110,14.565,14.020
REMIND-MAGPIE,SSP5-Baseline,R5.2LAM,Primary Energy|Gas,EJ/yr,8.459,11.750,15.040,16.310,17.580,19.805,22.030,23.815,25.600,26.565,27.530,29.655,31.780,32.430,33.080,31.550,30.020,30.975,31.930
WITCH-GLOBIOM,SSP1-19,R5.2LAM,Primary Energy|Gas,EJ/yr,8.179,8.614,9.049,5.452,1.856,1.763,1.670,1.497,1.323,1.154,0.985,0.865,0.746,0.649,0.552,0.521,0.489,0.415,0.340
WITCH-GLOBIOM,SSP1-26,R5.2LAM,Primary Energy|Gas,EJ/yr,8.179,8.790,9.401,6.978,4.554,4.102,3.650,3.356,3.063,2.748,2.434,2.179,1.924,1.685,1.446,1.263,1.080,0.969,0.857
WITCH-GLOBIOM,SSP2-45,R5.2LAM,Primary Energy|Gas,EJ/yr,8.179,9.684,11.190,12.116,13.042,13.989,14.936,15.794,16.652,16.969,17.285,17.527,17.768,17.331,16.894,16.534,16.175,14.921,13.667
WITCH-GLOBIOM,SSP3-Baseline,R5.2LAM,Primary Energy|Gas,EJ/yr,8.179,10.705,13.232,15.211,17.190,18.217,19.244,19.850,20.455,20.803,21.150,21.206,21.262,20.880,20.498,19.998,19.498,18.082,16.667
WITCH-GLOBIOM,SSP4-34,R5.2LAM,Primary Energy|Gas,EJ/yr,8.179,9.009,9.839,9.765,9.692,9.647,9.602,9.292,8.983,8.800,8.617,7.981,7.345,6.685,6.025,5.748,5.471,5.089,4.706
WITCH-GLOBIOM,SSP4-60,R5.2LAM,Primary Energy|Gas,EJ/yr,8.179,9.159,10.139,11.010,11.881,12.322,12.764,12.752,12.740,12.599,12.459,12.549,12.639,12.125,11.611,11.104,10.597,9.925,9.254
WITCH-GLOBIOM,SSP5-34,R5.2LAM,Primary Energy|Gas,EJ/yr,8.179,9.443,10.707,9.140,7.572,7.940,8.308,7.769,7.230,6.355,5.479,4.577,3.675,3.041,2.407,2.063,1.720,1.472,1.224
WITCH-GLOBIOM,SSP5-Baseline,R5.2LAM,Primary Energy|Gas,EJ/yr,8.179,9.659,11.139,13.104,15.069,18.021,20.972,23.661,26.349,27.772,29.195,28.775,28.355,27.288,26.220,22.851,19.482,16.827,14.171
AIM/CGE,SSP1-19,R5.2MAF,Primary Energy|Gas,EJ/yr,14.197,16.250,18.303,15.345,12.387,10.284,8.182,7.684,7.185,5.776,4.368,3.823,3.278,2.939,2.601,2.575,2.550,2.366,2.183
AIM/CGE,SSP1-26,R5.2MAF,Primary Energy|Gas,EJ/yr,14.196,16.249,18.302,18.562,18.823,16.867,14.911,14.329,13.746,13.541,13.336,12.440,11.545,11.322,11.100,10.604,10.108,10.030,9.952
AIM/CGE,SSP2-45,R5.2MAF,Primary Energy|Gas,EJ/yr,14.541,16.881,19.221,21.733,24.245,25.768,27.292,28.168,29.045,28.701,28.358,28.756,29.155,30.289,31.423,31.956,32.489,32.636,32.783
AIM/CGE,SSP3-Baseline,R5.2MAF,Primary Energy|Gas,EJ/yr,14.830,17.804,20.777,25.494,30.212,35.223,40.235,46.342,52.449,57.677,62.905,65.709,68.514,70.023,71.533,74.543,77.552,79.896,82.239
AIM/CGE,SSP4-34,R5.2MAF,Primary Energy|Gas,EJ/yr,14.515,16.774,19.032,20.854,22.677,23.366,24.056,24.273,24.490,24.322,24.154,24.462,24.771,25.075,25.379,25.343,25.308,25.551,25.793
AIM/CGE,SSP5-34,R5.2MAF,Primary Energy|Gas,EJ/yr,14.526,16.954,19.381,20.344,21.307,23.195,25.083,28.810,32.536,35.260,37.985,39.161,40.338,40.195,40.053,39.728,39.402,39.675,39.948
AIM/CGE,SSP5-Baseline,R5.2MAF,Primary Energy|Gas,EJ/yr,14.538,16.932,19.326,23.260,27.193,32.072,36.951,43.129,49.306,55.414,61.522,64.969,68.417,69.058,69.699,77.111,84.522,90.695,96.869
GCAM4,SSP1-19,R5.2MAF,Primary Energy|Gas,EJ/yr,16.775,20.059,23.343,26.078,28.813,31.458,34.103,35.307,36.511,35.020,33.529,30.312,27.095,23.883,20.671,17.325,13.978,11.860,9.742
GCAM4,SSP1-26,R5.2MAF,Primary Energy|Gas,EJ/yr,16.775,20.060,23.345,27.311,31.277,34.981,38.684,41.091,43.499,43.628,43.758,40.947,38.136,33.589,29.042,25.535,22.028,18.984,15.939
GCAM4,SSP2-45,R5.2MAF,Primary Energy|Gas,EJ/yr,16.775,20.632,24.490,30.358,36.225,40.025,43.825,47.747,51.670,54.221,56.772,57.431,58.091,58.237,58.383,59.129,59.876,59.308,58.740
GCAM4,SSP3-Baseline,R5.2MAF,Primary Energy|Gas,EJ/yr,16.775,21.052,25.329,30.863,36.396,40.775,45.155,48.183,51.212,52.294,53.377,53.171,52.965,52.455,51.945,51.282,50.620,50.420,50.221
GCAM4,SSP4-34,R5.2MAF,Primary Energy|Gas,EJ/yr,16.775,20.540,24.304,28.530,32.757,35.931,39.106,40.869,42.631,43.010,43.390,42.930,42.470,41.424,40.377,37.517,34.656,30.776,26.896
GCAM4,SSP4-60,R5.2MAF,Primary Energy|Gas,EJ/yr,16.775,20.540,24.304,29.971,35.637,39.944,44.251,47.387,50.522,52.353,54.183,54.978,55.772,56.556,57.340,58.718,60.096,61.500,62.905
GCAM4,SSP5-34,R5.2MAF,Primary Energy|Gas,EJ/yr,16.775,20.980,25.185,33.406,41.627,48.291,54.954,62.727,70.499,75.496,80.494,82.938,85.382,88.279,91.176,95.523,99.869,98.241,96.613
GCAM4,SSP5-Baseline,R5.2MAF,Primary Energy|Gas,EJ/yr,16.775,21.366,25.958,33.775,41.592,51.521,61.450,70.782,80.114,86.653,93.193,98.130,103.067,105.037,107.008,105.150,103.292,103.880,104.469
IMAGE,SSP1-19,R5.2MAF,Primary Energy|Gas,EJ/yr,14.198,14.054,13.911,13.943,13.975,16.263,18.551,20.231,21.911,24.671,27.430,28.656,29.881,27.918,25.955,24.741,23.526,21.342,19.159
IMAGE,SSP1-26,R5.2MAF,Primary Energy|Gas,EJ/yr,14.198,15.080,15.962,18.018,20.075,22.303,24.532,26.466,28.399,31.589,34.778,34.903,35.029,34.400,33.771,32.953,32.134,33.617,35.101
