Model,Scenario,Region,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE,SSP4-34,R5.2MAF,Agricultural Production|Crops|Non-Energy,million t DM/yr,360.598,420.611,480.624,549.823,619.021,688.920,758.819,830.560,902.302,971.348,1040.394,1106.118,1171.842,1236.450,1301.057,1361.216,1421.375,1477.226,1533.076
AIM/CGE,SSP5-34,R5.2MAF,Agricultural Production|Crops|Non-Energy,million t DM/yr,360.248,412.978,465.708,527.322,588.936,658.658,728.381,795.100,861.819,917.623,973.427,1017.805,1062.184,1091.919,1121.654,1137.223,1152.793,1155.049,1157.304
AIM/CGE,SSP5-Baseline,R5.2MAF,Agricultural Production|Crops|Non-Energy,million t DM/yr,360.227,412.848,465.470,526.122,586.774,657.657,728.541,796.044,863.547,920.501,977.455,1022.677,1067.899,1097.499,1127.098,1141.527,1155.955,1155.445,1154.935
GCAM4,SSP1-19,R5.2MAF,Agricultural Production|Crops|Non-Energy,million t DM/yr,338.867,357.291,375.715,315.765,255.815,255.632,255.449,273.741,292.033,293.536,295.038,295.475,295.911,294.187,292.463,287.119,281.775,272.917,264.058
GCAM4,SSP1-26,R5.2MAF,Agricultural Production|Crops|Non-Energy,million t DM/yr,338.867,373.462,408.056,375.362,342.669,332.071,321.472,329.664,337.856,333.561,329.265,326.492,323.719,322.360,321.002,317.864,314.726,307.456,300.186
GCAM4,SSP2-45,R5.2MAF,Agricultural Production|Crops|Non-Energy,million t DM/yr,338.867,368.925,398.982,435.284,471.585,481.381,491.176,470.335,449.494,414.178,378.863,369.773,360.683,361.485,362.286,363.549,364.812,364.816,364.819
GCAM4,SSP3-Baseline,R5.2MAF,Agricultural Production|Crops|Non-Energy,million t DM/yr,338.867,357.969,377.071,398.732,420.393,443.827,467.262,485.637,504.011,504.994,505.978,504.998,504.018,502.807,501.596,505.877,510.158,516.351,522.544
GCAM4,SSP4-34,R5.2MAF,Agricultural Production|Crops|Non-Energy,million t DM/yr,338.867,355.328,371.789,413.871,455.953,506.801,557.650,614.640,671.630,718.306,764.982,814.350,863.719,911.892,960.066,1001.452,1042.839,1078.302,1113.765
GCAM4,SSP4-60,R5.2MAF,Agricultural Production|Crops|Non-Energy,million t DM/yr,338.867,355.328,371.789,411.683,451.578,500.330,549.083,603.938,658.793,704.984,751.175,797.659,844.144,888.207,932.271,970.361,1008.452,1042.612,1076.772
GCAM4,SSP5-34,R5.2MAF,Agricultural Production|Crops|Non-Energy,million t DM/yr,338.867,375.805,412.742,459.444,506.146,468.294,430.443,412.833,395.224,390.222,385.220,391.415,397.611,402.974,408.337,408.106,407.876,402.222,396.568
GCAM4,SSP5-Baseline,R5.2MAF,Agricultural Production|Crops|Non-Energy,million t DM/yr,338.867,375.445,412.022,458.640,505.258,576.444,647.630,722.810,797.990,809.634,821.279,826.157,831.036,830.822,830.608,820.391,810.173,792.449,774.725
IMAGE,SSP1-19,R5.2MAF,Agricultural Production|Crops|Non-Energy,million t DM/yr,376.692,436.187,495.682,569.627,643.572,710.723,777.875,845.044,912.212,933.918,955.623,977.330,999.037,1020.745,1042.453,1064.163,1085.873,1107.584,1129.295
IMAGE,SSP1-26,R5.2MAF,Agricultural Production|Crops|Non-Energy,million t DM/yr,376.692,436.204,495.715,569.710,643.705,710.830,777.954,845.096,912.237,933.944,955.651,977.362,999.073,1020.771,1042.468,1064.174,1085.879,1107.597,1129.314
IMAGE,SSP2-45,R5.2MAF,Agricultural Production|Crops|Non-Energy,million t DM/yr,376.692,446.704,516.715,602.799,688.882,765.893,842.904,919.153,995.402,1020.647,1045.892,1071.283,1096.674,1122.053,1147.433,1172.860,1198.288,1223.721,1249.154
IMAGE,SSP3-Baseline,R5.2MAF,Agricultural Production|Crops|Non-Energy,million t DM/yr,376.692,456.433,536.175,632.025,727.875,794.816,861.757,928.804,995.851,1021.840,1047.830,1073.499,1099.169,1125.222,1151.276,1177.419,1203.561,1229.701,1255.840
IMAGE,SSP4-34,R5.2MAF,Agricultural Production|Crops|Non-Energy,million t DM/yr,376.688,449.567,522.446,604.228,686.011,744.884,803.757,861.661,919.566,944.802,970.039,995.664,1021.288,1047.058,1072.828,1098.601,1124.373,1150.141,1175.908
IMAGE,SSP4-60,R5.2MAF,Agricultural Production|Crops|Non-Energy,million t DM/yr,376.688,449.610,522.531,606.848,691.164,757.064,822.964,888.158,953.352,980.416,1007.479,1034.726,1061.972,1089.605,1117.238,1144.805,1172.372,1200.002,1227.632
IMAGE,SSP5-34,R5.2MAF,Agricultural Production|Crops|Non-Energy,million t DM/yr,376.693,449.605,522.518,616.547,710.576,768.392,826.209,884.009,941.809,961.944,982.079,1002.208,1022.338,1042.478,1062.618,1083.033,1103.448,1123.382,1143.316
IMAGE,SSP5-Baseline,R5.2MAF,Agricultural Production|Crops|Non-Energy,million t DM/yr,376.693,449.660,522.626,628.354,734.082,806.439,878.795,950.906,1023.016,1045.622,1068.228,1090.850,1113.472,1136.229,1158.986,1181.773,1204.560,1227.331,1250.102
MESSAGE-GLOBIOM,SSP1-19,R5.2MAF,Agricultural Production|Crops|Non-Energy,million t DM/yr,245.535,276.186,306.838,347.548,388.258,432.144,476.031,512.146,548.261,583.461,618.661,646.381,674.102,692.199,710.295,713.644,716.992,711.029,705.066
MESSAGE-GLOBIOM,SSP1-26,R5.2MAF,Agricultural Production|Crops|Non-Energy,million t DM/yr,245.535,279.293,313.050,356.244,399.438,446.217,492.995,534.426,575.857,604.467,633.077,658.083,683.089,701.313,719.537,725.741,731.945,727.262,722.580
MESSAGE-GLOBIOM,SSP2-45,R5.2MAF,Agricultural Production|Crops|Non-Energy,million t DM/yr,245.535,284.827,324.119,375.332,426.544,481.898,537.253,594.302,651.350,709.235,767.119,821.404,875.689,917.696,959.704,992.896,1026.088,1054.441,1082.793
MESSAGE-GLOBIOM,SSP3-Baseline,R5.2MAF,Agricultural Production|Crops|Non-Energy,million t DM/yr,245.535,282.478,319.421,361.422,403.424,443.580,483.737,526.459,569.181,616.800,664.418,713.940,763.462,820.528,877.593,931.653,985.712,1035.642,1085.573
REMIND-MAGPIE,SSP1-19,R5.2MAF,Agricultural Production|Crops|Non-Energy,million t DM/yr,488.046,627.477,766.908,835.990,905.072,964.692,1024.312,1111.323,1198.334,1190.729,1183.125,1155.053,1126.982,1086.622,1046.262,1041.376,1036.489,834.814,633.138
REMIND-MAGPIE,SSP1-26,R5.2MAF,Agricultural Production|Crops|Non-Energy,million t DM/yr,491.080,632.382,773.684,867.050,960.417,1002.615,1044.814,1134.750,1224.686,1302.791,1380.896,1358.990,1337.083,1332.762,1328.442,1340.014,1351.586,1244.397,1137.208
REMIND-MAGPIE,SSP2-45,R5.2MAF,Agricultural Production|Crops|Non-Energy,million t DM/yr,409.386,537.446,665.505,781.999,898.492,1007.390,1116.288,1217.984,1319.680,1392.068,1464.455,1510.059,1555.663,1610.280,1664.897,1698.295,1731.694,1743.245,1754.796
REMIND-MAGPIE,SSP5-34,R5.2MAF,Agricultural Production|Crops|Non-Energy,million t DM/yr,489.372,632.563,775.755,888.891,1002.027,1117.357,1232.687,1321.532,1410.378,1505.676,1600.974,1677.296,1753.617,1793.249,1832.880,1794.210,1755.540,1816.681,1877.822
REMIND-MAGPIE,SSP5-Baseline,R5.2MAF,Agricultural Production|Crops|Non-Energy,million t DM/yr,492.823,633.284,773.744,910.101,1046.458,1153.304,1260.150,1388.165,1516.180,1601.368,1686.555,1690.266,1693.977,1687.474,1680.970,1692.943,1704.915,1703.818,1702.722
AIM/CGE,SSP1-19,R5.2OECD,Agricultural Production|Crops|Non-Energy,million t DM/yr,1128.591,1209.967,1291.342,1406.394,1521.447,1641.064,1760.681,1821.280,1881.880,1931.351,1980.821,2002.045,2023.270,2025.384,2027.498,2018.629,2009.760,1984.034,1958.308
AIM/CGE,SSP1-26,R5.2OECD,Agricultural Production|Crops|Non-Energy,million t DM/yr,1128.601,1209.952,1291.303,1381.996,1472.690,1569.186,1665.682,1743.960,1822.238,1895.049,1967.861,2025.440,2083.019,2096.772,2110.525,2106.741,2102.956,2082.654,2062.353
AIM/CGE,SSP2-45,R5.2OECD,Agricultural Production|Crops|Non-Energy,million t DM/yr,1131.262,1219.719,1308.176,1403.665,1499.153,1586.153,1673.154,1766.403,1859.653,1958.038,2056.423,2143.535,2230.648,2296.531,2362.413,2408.309,2454.204,2481.454,2508.704
AIM/CGE,SSP3-Baseline,R5.2OECD,Agricultural Production|Crops|Non-Energy,million t DM/yr,1147.089,1235.175,1323.262,1409.633,1496.005,1566.941,1637.877,1703.802,1769.727,1825.399,1881.071,1919.829,1958.588,1981.776,2004.964,2016.158,2027.353,2032.704,2038.055
