Model,Scenario,Region,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE,SSP3-Baseline,R5.2LAM,Primary Energy|Oil,EJ/yr,13.962,15.745,17.528,19.204,20.881,22.023,23.165,24.009,24.853,25.581,26.308,27.139,27.970,28.817,29.665,30.651,31.638,32.384,33.130
AIM/CGE,SSP4-34,R5.2LAM,Primary Energy|Oil,EJ/yr,12.998,13.284,13.571,13.547,13.523,13.043,12.563,11.933,11.303,10.636,9.970,9.463,8.955,8.504,8.053,7.621,7.189,6.892,6.595
AIM/CGE,SSP5-34,R5.2LAM,Primary Energy|Oil,EJ/yr,13.451,14.276,15.102,15.673,16.245,16.943,17.641,18.988,20.336,20.468,20.600,20.202,19.804,19.263,18.723,18.500,18.278,18.059,17.840
AIM/CGE,SSP5-Baseline,R5.2LAM,Primary Energy|Oil,EJ/yr,13.440,14.270,15.100,16.662,18.224,20.379,22.534,24.309,26.083,27.608,29.133,30.578,32.022,32.746,33.469,33.636,33.803,31.034,28.266
GCAM4,SSP1-19,R5.2LAM,Primary Energy|Oil,EJ/yr,16.705,17.559,18.414,17.876,17.338,16.940,16.541,15.642,14.742,12.691,10.640,8.703,6.765,5.260,3.754,2.729,1.705,1.053,0.402
GCAM4,SSP1-26,R5.2LAM,Primary Energy|Oil,EJ/yr,16.705,17.544,18.383,18.291,18.200,18.064,17.928,17.515,17.101,15.941,14.780,13.484,12.189,10.093,7.997,6.091,4.184,2.862,1.540
GCAM4,SSP2-45,R5.2LAM,Primary Energy|Oil,EJ/yr,16.705,18.159,19.613,20.065,20.516,20.253,19.991,20.150,20.309,20.031,19.753,19.296,18.840,17.725,16.611,15.677,14.743,13.246,11.749
GCAM4,SSP3-Baseline,R5.2LAM,Primary Energy|Oil,EJ/yr,16.705,18.555,20.404,20.161,19.917,19.573,19.229,19.196,19.163,18.965,18.767,19.557,20.346,21.488,22.629,23.773,24.917,25.983,27.050
GCAM4,SSP4-34,R5.2LAM,Primary Energy|Oil,EJ/yr,16.705,18.004,19.303,19.118,18.934,18.511,18.088,17.424,16.760,15.298,13.835,12.433,11.031,9.416,7.802,6.674,5.546,4.997,4.449
GCAM4,SSP4-60,R5.2LAM,Primary Energy|Oil,EJ/yr,16.705,18.004,19.303,19.503,19.704,19.574,19.444,19.355,19.267,18.856,18.445,18.579,18.714,18.673,18.631,18.253,17.875,17.100,16.325
GCAM4,SSP5-34,R5.2LAM,Primary Energy|Oil,EJ/yr,16.705,18.271,19.837,21.277,22.717,23.099,23.481,24.004,24.527,23.733,22.940,21.537,20.135,17.615,15.096,11.595,8.095,5.804,3.513
GCAM4,SSP5-Baseline,R5.2LAM,Primary Energy|Oil,EJ/yr,16.705,18.565,20.425,21.217,22.009,23.620,25.231,26.955,28.679,30.133,31.587,33.392,35.198,36.677,38.156,39.123,40.090,39.944,39.798
IMAGE,SSP1-19,R5.2LAM,Primary Energy|Oil,EJ/yr,14.251,13.908,13.566,10.569,7.573,5.565,3.557,2.982,2.407,2.196,1.986,1.920,1.855,1.798,1.742,1.667,1.592,1.511,1.431
IMAGE,SSP1-26,R5.2LAM,Primary Energy|Oil,EJ/yr,14.251,14.760,15.270,14.505,13.741,12.658,11.576,11.607,11.638,11.063,10.489,8.680,6.872,5.176,3.481,2.999,2.518,2.538,2.557
IMAGE,SSP2-45,R5.2LAM,Primary Energy|Oil,EJ/yr,14.317,15.301,16.285,16.096,15.906,15.130,14.354,15.176,15.997,17.242,18.486,18.223,17.960,15.899,13.837,11.980,10.124,9.710,9.297
IMAGE,SSP3-Baseline,R5.2LAM,Primary Energy|Oil,EJ/yr,14.385,15.575,16.766,16.689,16.612,15.629,14.645,15.339,16.032,17.463,18.893,20.133,21.372,22.026,22.679,22.765,22.851,22.865,22.878
