Model,Scenario,Region,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
MESSAGE-GLOBIOM,SSP1-26,R5.2ASIA,Consumption,billion US$2005/yr,4273.340,8592.170,12911.000,21998.450,31085.900,45654.450,60223.000,77319.000,94415.000,110706.500,126998.000,141962.500,156927.000,168845.000,180763.000,189483.500,198204.000,204575.500,210947.000
MESSAGE-GLOBIOM,SSP1-34,R5.2ASIA,Consumption,billion US$2005/yr,4270.310,8582.755,12895.200,22001.750,31108.300,45707.150,60306.000,77451.500,94597.000,110932.500,127268.000,142285.500,157303.000,169226.500,181150.000,189933.500,198717.000,205152.500,211588.000
MESSAGE-GLOBIOM,SSP1-45,R5.2ASIA,Consumption,billion US$2005/yr,4268.150,8578.025,12887.900,21997.250,31106.600,45713.300,60320.000,77478.000,94636.000,111007.500,127379.000,142430.000,157481.000,169489.000,181497.000,190279.500,199062.000,205539.500,212017.000
MESSAGE-GLOBIOM,SSP1-Baseline,R5.2ASIA,Consumption,billion US$2005/yr,4266.890,8573.345,12879.800,21988.850,31097.900,45709.450,60321.000,77474.500,94628.000,110981.500,127335.000,142391.500,157448.000,169488.500,181529.000,190348.000,199167.000,205789.500,212412.000
MESSAGE-GLOBIOM,SSP2-19,R5.2ASIA,Consumption,billion US$2005/yr,4275.790,8692.795,13109.800,20616.650,28123.500,36659.400,45195.300,53899.150,62603.000,72052.500,81502.000,91667.000,101832.000,112729.500,123627.000,135652.000,147677.000,158025.000,168373.000
MESSAGE-GLOBIOM,SSP2-26,R5.2ASIA,Consumption,billion US$2005/yr,4270.530,8667.465,13064.400,20590.000,28115.600,36881.050,45646.500,54691.750,63737.000,73410.500,83084.000,93471.000,103858.000,115190.500,126523.000,139095.500,151668.000,163309.000,174950.000
MESSAGE-GLOBIOM,SSP2-34,R5.2ASIA,Consumption,billion US$2005/yr,4268.280,8658.890,13049.500,20588.900,28128.300,36931.250,45734.200,54860.100,63986.000,73738.500,83491.000,93947.000,104403.000,115863.500,127324.000,140025.000,152726.000,164791.500,176857.000
MESSAGE-GLOBIOM,SSP2-45,R5.2ASIA,Consumption,billion US$2005/yr,4266.910,8655.805,13044.700,20575.750,28106.800,36930.200,45753.600,54913.300,64073.000,73873.500,83674.000,94179.500,104685.000,116147.500,127610.000,140354.500,153099.000,165285.500,177472.000
MESSAGE-GLOBIOM,SSP2-60,R5.2ASIA,Consumption,billion US$2005/yr,4266.330,8653.565,13040.800,20564.200,28087.600,36916.900,45746.200,54914.100,64082.000,73894.500,83707.000,94264.500,104822.000,116379.500,127937.000,140793.500,153650.000,165878.000,178106.000
MESSAGE-GLOBIOM,SSP2-Baseline,R5.2ASIA,Consumption,billion US$2005/yr,4265.810,8649.905,13034.000,20557.900,28081.800,36918.600,45755.400,54916.200,64077.000,73885.000,83693.000,94258.500,104824.000,116414.500,128005.000,140876.000,153747.000,166047.000,178347.000
MESSAGE-GLOBIOM,SSP3-34,R5.2ASIA,Consumption,billion US$2005/yr,4263.310,8691.555,13119.800,19741.700,26363.600,31564.800,36766.000,39731.200,42696.400,44995.750,47295.100,49188.550,51082.000,53103.000,55124.000,57195.500,59267.000,60298.000,61329.000
MESSAGE-GLOBIOM,SSP3-45,R5.2ASIA,Consumption,billion US$2005/yr,4261.310,8687.005,13112.700,19731.150,26349.600,31648.400,36947.200,40012.750,43078.300,45434.050,47789.800,49728.400,51667.000,53795.500,55924.000,58247.000,60570.000,62744.000,64918.000
MESSAGE-GLOBIOM,SSP3-60,R5.2ASIA,Consumption,billion US$2005/yr,4260.980,8692.040,13123.100,19733.600,26344.100,31686.400,37028.700,40204.150,43379.600,45844.500,48309.400,50309.200,52309.000,54644.500,56980.000,59671.000,62362.000,65096.000,67830.000
MESSAGE-GLOBIOM,SSP3-Baseline,R5.2ASIA,Consumption,billion US$2005/yr,4261.130,8711.665,13162.200,19737.450,26312.700,31652.400,36992.100,40205.100,43418.100,45921.500,48424.900,50543.950,52663.000,55067.500,57472.000,59987.500,62503.000,65034.500,67566.000
REMIND-MAGPIE,SSP1-Baseline,R5.2ASIA,Consumption,billion US$2005/yr,7728.000,9366.000,11004.000,13215.500,15427.000,18278.000,21129.000,23995.000,26861.000,29206.000,31551.000,32735.000,33919.000,35620.000,37321.000,38011.500,38702.000,38876.500,39051.000
REMIND-MAGPIE,SSP2-Baseline,R5.2ASIA,Consumption,billion US$2005/yr,7166.000,8722.500,10279.000,12110.000,13941.000,15899.000,17857.000,19778.500,21700.000,23513.500,25327.000,26634.500,27942.000,30040.500,32139.000,33820.000,35501.000,37090.500,38680.000
REMIND-MAGPIE,SSP5-Baseline,R5.2ASIA,Consumption,billion US$2005/yr,8092.000,9770.000,11448.000,14022.500,16597.000,20351.500,24106.000,28118.000,32130.000,35839.500,39549.000,41634.500,43720.000,46985.000,50250.000,52115.000,53980.000,55065.000,56150.000
WITCH-GLOBIOM,SSP1-19,R5.2ASIA,Consumption,billion US$2005/yr,5389.608,8061.922,10734.235,13937.773,17141.311,21220.078,25298.845,29010.221,32721.596,35734.888,38748.181,40787.108,42826.035,43912.190,44998.345,46469.910,47941.475,48783.898,49626.321
WITCH-GLOBIOM,SSP1-26,R5.2ASIA,Consumption,billion US$2005/yr,5389.608,8163.652,10937.695,14983.678,19029.660,24042.690,29055.721,33694.667,38333.613,41940.277,45546.941,48139.848,50732.755,52262.868,53792.982,54539.896,55286.811,55644.119,56001.427
WITCH-GLOBIOM,SSP1-34,R5.2ASIA,Consumption,billion US$2005/yr,5389.608,8208.526,11027.445,15455.339,19883.233,25174.438,30465.643,35501.721,40537.800,44667.802,48797.804,51933.112,55068.420,57086.164,59103.909,60106.094,61108.280,61048.084,60987.888
WITCH-GLOBIOM,SSP1-45,R5.2ASIA,Consumption,billion US$2005/yr,5389.608,8201.267,11012.925,15499.680,19986.435,25353.680,30720.926,35815.744,40910.562,45106.602,49302.642,52613.544,55924.446,58181.840,60439.233,61760.316,63081.399,63256.279,63431.160
WITCH-GLOBIOM,SSP1-Baseline,R5.2ASIA,Consumption,billion US$2005/yr,5389.608,8197.800,11005.991,15437.778,19869.565,25238.941,30608.316,35722.495,40836.673,45060.522,49284.370,52593.212,55902.053,58203.896,60505.740,61852.220,63198.700,63444.779,63690.858
WITCH-GLOBIOM,SSP2-26,R5.2ASIA,Consumption,billion US$2005/yr,5278.132,7827.230,10376.329,13240.229,16104.130,18916.234,21728.337,24263.398,26798.458,28916.280,31034.102,32877.662,34721.222,36196.009,37670.796,38776.702,39882.608,41193.408,42504.207
WITCH-GLOBIOM,SSP2-34,R5.2ASIA,Consumption,billion US$2005/yr,5278.132,7903.563,10528.993,13744.165,16959.337,20068.308,23177.280,26192.969,29208.659,32010.699,34812.738,37456.898,40101.058,42463.942,44826.826,46778.440,48730.055,50404.847,52079.639
WITCH-GLOBIOM,SSP2-45,R5.2ASIA,Consumption,billion US$2005/yr,5278.132,7912.126,10546.119,13864.138,17182.157,20413.900,23645.642,26730.802,29815.962,32790.520,35765.078,38764.495,41763.913,44630.694,47497.474,50107.840,52718.206,55079.673,57441.140
WITCH-GLOBIOM,SSP2-60,R5.2ASIA,Consumption,billion US$2005/yr,5278.132,7900.457,10522.782,13896.180,17269.578,20563.535,23857.491,27024.049,30190.607,33202.887,36215.167,39225.415,42235.663,45189.647,48143.631,50972.806,53801.981,56498.132,59194.284
WITCH-GLOBIOM,SSP2-Baseline,R5.2ASIA,Consumption,billion US$2005/yr,5278.132,7907.177,10536.222,13914.420,17292.617,20587.633,23882.648,27067.560,30252.472,33281.596,36310.721,39316.234,42321.748,45260.685,48199.622,51006.822,53814.023,56466.195,59118.367
WITCH-GLOBIOM,SSP3-34,R5.2ASIA,Consumption,billion US$2005/yr,5125.394,7599.203,10073.013,12460.886,14848.758,16374.186,17899.613,18863.437,19827.260,20300.612,20773.964,21067.038,21360.112,21547.106,21734.101,21985.453,22236.806,22839.657,23442.507
WITCH-GLOBIOM,SSP3-45,R5.2ASIA,Consumption,billion US$2005/yr,5125.394,7661.013,10196.633,12793.029,15389.425,17096.424,18803.423,19939.812,21076.202,21848.291,22620.380,23325.121,24029.861,24693.502,25357.142,25982.661,26608.180,27396.226,28184.273
WITCH-GLOBIOM,SSP3-60,R5.2ASIA,Consumption,billion US$2005/yr,5125.394,7633.376,10141.358,12812.493,15483.628,17296.761,19109.893,20352.569,21595.244,22413.410,23231.575,23958.759,24685.942,25390.090,26094.238,26848.068,27601.899,28506.399,29410.900
WITCH-GLOBIOM,SSP3-Baseline,R5.2ASIA,Consumption,billion US$2005/yr,5125.394,7627.725,10130.056,12791.519,15452.981,17262.939,19072.896,20330.889,21588.882,22463.131,23337.380,24152.114,24966.848,25786.350,26605.851,27481.840,28357.829,29392.185,30426.541
WITCH-GLOBIOM,SSP4-19,R5.2ASIA,Consumption,billion US$2005/yr,5261.805,7740.555,10219.305,12541.693,14864.082,16864.299,18864.517,20454.724,22044.931,23092.420,24139.908,24601.672,25063.437,25095.300,25127.164,25515.242,25903.319,25534.156,25164.993
WITCH-GLOBIOM,SSP4-26,R5.2ASIA,Consumption,billion US$2005/yr,5261.805,7858.634,10455.464,13456.049,16456.634,19243.482,22030.330,24287.386,26544.441,28040.609,29536.777,30399.829,31262.881,31550.602,31838.324,31620.316,31402.308,30904.727,30407.146
WITCH-GLOBIOM,SSP4-34,R5.2ASIA,Consumption,billion US$2005/yr,5261.805,7888.393,10514.980,13747.699,16980.418,19906.238,22832.059,25289.432,27746.806,29558.431,31370.056,32596.433,33822.810,34450.382,35077.954,35099.915,35121.876,34728.520,34335.165
WITCH-GLOBIOM,SSP4-45,R5.2ASIA,Consumption,billion US$2005/yr,5261.805,7881.134,10500.462,13782.623,17064.783,20058.926,23053.068,25538.989,28024.911,29873.045,31721.178,33059.908,34398.637,35220.651,36042.664,36422.473,36802.281,36762.587,36722.892
WITCH-GLOBIOM,SSP4-60,R5.2ASIA,Consumption,billion US$2005/yr,5261.805,7867.637,10473.469,13750.789,17028.109,20038.954,23049.799,25573.647,28097.495,29943.230,31788.966,33106.348,34423.730,35196.716,35969.701,36292.004,36614.306,36611.835,36609.364
WITCH-GLOBIOM,SSP4-Baseline,R5.2ASIA,Consumption,billion US$2005/yr,5261.805,7864.804,10467.802,13716.257,16964.712,19979.368,22994.025,25533.580,28073.135,29945.133,31817.130,33156.182,34495.234,35283.963,36072.692,36415.573,36758.453,36762.260,36766.067
WITCH-GLOBIOM,SSP5-34,R5.2ASIA,Consumption,billion US$2005/yr,5282.832,8065.916,10848.999,15491.679,20134.358,26478.455,32822.551,38955.557,45088.563,50175.004,55261.446,59344.566,63427.686,66223.511,69019.336,70768.442,72517.549,74356.591,76195.633
WITCH-GLOBIOM,SSP5-45,R5.2ASIA,Consumption,billion US$2005/yr,5282.832,8126.109,10969.385,16030.350,21091.314,27939.002,34786.690,41736.243,48685.795,55026.282,61366.769,66938.913,72511.057,76904.497,81297.938,84328.922,87359.905,88961.950,90563.994
WITCH-GLOBIOM,SSP5-60,R5.2ASIA,Consumption,billion US$2005/yr,5282.832,8122.563,10962.294,16184.527,21406.760,28530.275,35653.791,42812.448,49971.105,56525.605,63080.104,69081.658,75083.212,80172.809,85262.405,89303.479,93344.553,95687.801,98031.050
WITCH-GLOBIOM,SSP5-Baseline,R5.2ASIA,Consumption,billion US$2005/yr,5282.832,8106.273,10929.713,16168.885,21408.056,28608.734,35809.412,43128.445,50447.479,57140.665,63833.852,69961.210,76088.568,81384.211,86679.855,91025.988,95372.122,98307.943,101243.765
AIM/CGE,SSP1-19,R5.2LAM,Consumption,billion US$2005/yr,2319.789,2846.369,3372.949,4084.255,4795.561,5777.693,6759.824,7851.085,8942.347,10025.198,11108.050,12103.234,13098.418,13944.827,14791.235,15459.668,16128.101,16561.883,16995.666
AIM/CGE,SSP1-26,R5.2LAM,Consumption,billion US$2005/yr,2319.781,2846.375,3372.969,4117.697,4862.425,5855.636,6848.846,7950.550,9052.253,10135.020,11217.788,12195.322,13172.857,14012.201,14851.545,15513.783,16176.021,16607.936,17039.852
AIM/CGE,SSP1-34,R5.2LAM,Consumption,billion US$2005/yr,2319.781,2846.375,3372.969,4122.911,4872.852,5882.756,6892.659,8000.834,9109.010,10201.519,11294.029,12282.070,13270.110,14106.415,14942.720,15602.173,16261.625,16688.557,17115.489
AIM/CGE,SSP1-45,R5.2LAM,Consumption,billion US$2005/yr,2319.781,2846.168,3372.555,4122.804,4873.052,5884.659,6896.265,8008.796,9121.327,10222.703,11324.078,12320.146,13316.213,14156.553,14996.893,15658.414,16319.935,16745.059,17170.183
AIM/CGE,SSP1-Baseline,R5.2LAM,Consumption,billion US$2005/yr,2319.731,2845.601,3371.472,4121.846,4872.221,5884.471,6896.720,8008.432,9120.144,10220.289,11320.435,12317.818,13315.201,14160.007,15004.813,15670.337,16335.861,16765.088,17194.315
AIM/CGE,SSP2-19,R5.2LAM,Consumption,billion US$2005/yr,2320.577,2860.171,3399.766,3966.266,4532.766,5175.281,5817.797,6560.396,7302.994,8132.895,8962.795,9890.259,10817.723,11834.051,12850.379,13952.540,15054.701,16263.854,17473.007
AIM/CGE,SSP2-26,R5.2LAM,Consumption,billion US$2005/yr,2320.461,2860.115,3399.768,4011.699,4623.631,5281.025,5938.418,6691.707,7444.997,8288.931,9132.866,10050.639,10968.413,11985.154,13001.896,14104.360,15206.823,16417.494,17628.164
AIM/CGE,SSP2-34,R5.2LAM,Consumption,billion US$2005/yr,2320.461,2860.115,3399.768,4028.316,4656.864,5335.139,6013.414,6778.532,7543.650,8395.658,9247.665,10180.465,11113.264,12138.031,13162.799,14274.157,15385.516,16598.712,17811.908
AIM/CGE,SSP2-45,R5.2LAM,Consumption,billion US$2005/yr,2320.461,2860.115,3399.768,4033.688,4667.609,5357.178,6046.746,6822.638,7598.531,8460.742,9322.954,10263.286,11203.617,12235.880,13268.142,14384.571,15500.999,16718.971,17936.943
AIM/CGE,SSP2-60,R5.2LAM,Consumption,billion US$2005/yr,2320.461,2860.115,3399.768,4034.078,4668.388,5358.661,6048.933,6827.965,7606.996,8479.460,9351.924,10312.799,11273.675,12327.944,13382.213,14519.791,15657.370,16885.679,18113.988
AIM/CGE,SSP2-Baseline,R5.2LAM,Consumption,billion US$2005/yr,2320.417,2859.604,3398.792,4033.001,4667.211,5359.657,6052.104,6833.400,7614.697,8489.631,9364.564,10325.591,11286.618,12340.937,13395.256,14532.405,15669.554,16907.285,18145.016
