Model,Scenario,Region,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
IMAGE,SSP5-Baseline,R5.2LAM,Primary Energy|Coal,EJ/yr,1.514,2.976,4.439,6.554,8.669,12.854,17.039,21.362,25.685,29.567,33.45,36.676,39.902,40.858,41.813,41.36,40.906,41.573,42.241
MESSAGE-GLOBIOM,SSP1-19,R5.2LAM,Primary Energy|Coal,EJ/yr,1.442,1.264,1.086,0.693,0.3,0.316,0.332,0.353,0.373,0.187,0,0,0,0,0,0,0,0,0
MESSAGE-GLOBIOM,SSP1-26,R5.2LAM,Primary Energy|Coal,EJ/yr,1.442,1.224,1.005,0.758,0.51,0.409,0.308,0.338,0.367,0.394,0.422,0.445,0.468,0.484,0.5,0.25,0,0,0
MESSAGE-GLOBIOM,SSP2-45,R5.2LAM,Primary Energy|Coal,EJ/yr,1.442,1.616,1.79,2.63,3.469,3.196,2.922,2.257,1.592,1.141,0.691,0.875,1.06,1.458,1.856,2.392,2.927,3.733,4.54
MESSAGE-GLOBIOM,SSP3-Baseline,R5.2LAM,Primary Energy|Coal,EJ/yr,1.442,1.846,2.25,3.116,3.983,4.216,4.449,4.072,3.696,3.702,3.707,4.466,5.225,6.345,7.465,7.949,8.434,7.194,5.955
REMIND-MAGPIE,SSP1-19,R5.2LAM,Primary Energy|Coal,EJ/yr,1.547,2.371,3.194,2.783,2.372,1.676,0.979,0.601,0.222,0.117,0.011,0.008,0.004,0.005,0.006,0.006,0.006,0.055,0.104
REMIND-MAGPIE,SSP1-26,R5.2LAM,Primary Energy|Coal,EJ/yr,1.547,2.371,3.194,3.34,3.485,2.792,2.099,1.411,0.724,0.435,0.147,0.133,0.119,0.105,0.09,0.07,0.051,0.038,0.025
REMIND-MAGPIE,SSP2-45,R5.2LAM,Primary Energy|Coal,EJ/yr,1.719,3.56,5.4,6.351,7.301,7.924,8.547,10.959,13.37,17.41,21.45,25.49,29.53,31.21,32.89,31.22,29.55,27.99,26.43
REMIND-MAGPIE,SSP5-34,R5.2LAM,Primary Energy|Coal,EJ/yr,1.491,1.964,2.436,2.56,2.684,2.767,2.85,4.203,5.555,6.167,6.779,6.339,5.899,4.829,3.758,2.433,1.107,0.74,0.373
REMIND-MAGPIE,SSP5-Baseline,R5.2LAM,Primary Energy|Coal,EJ/yr,1.491,2.096,2.7,4.176,5.651,7.711,9.771,12.201,14.63,16.825,19.02,20.645,22.27,23.85,25.43,27.14,28.85,31.34,33.83
WITCH-GLOBIOM,SSP1-19,R5.2LAM,Primary Energy|Coal,EJ/yr,1.11,0.943,0.775,0.755,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735
